gender,medal,type,year,country,abb
Men,Gold,Athletics,1984,Denmark,DEN
Men,Gold,Athletics,1984,Portugal,POR
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Finland,FIN
Men,Gold,Athletics,1984,Mexico,MEX
Men,Gold,Athletics,1984,Belgium,BEL
Men,Gold,Athletics,1984,New Zealand,NZL
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Belgium,BEL
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Denmark,DEN
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,Denmark,DEN
Men,Gold,Athletics,1984,Portugal,POR
Men,Gold,Athletics,1984,Mexico,MEX
Men,Gold,Athletics,1984,Belgium,BEL
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Australia,AUS
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Poland,POL
Men,Gold,Athletics,1984,Poland,POL
Men,Gold,Athletics,1984,Finland,FIN
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,France,FRA
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Yugoslavia,YUG
Men,Gold,Athletics,1984,Belgium,BEL
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Finland,FIN
Men,Gold,Athletics,1984,Australia,AUS
Men,Gold,Athletics,1984,Belgium,BEL
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,France,FRA
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Belgium,BEL
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Belgium,BEL
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,Norway,NOR
Men,Gold,Athletics,1984,Finland,FIN
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Finland,FIN
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,Belgium,BEL
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,Norway,NOR
Men,Gold,Athletics,1984,Italy,ITA
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,Australia,AUS
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Australia,AUS
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Portugal,POR
Men,Gold,Athletics,1984,Italy,ITA
Men,Gold,Athletics,1984,Japan,JPN
Men,Gold,Athletics,1984,New Zealand,NZL
Men,Gold,Athletics,1984,Denmark,DEN
Men,Gold,Athletics,1984,Ireland,IRL
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,Japan,JPN
Men,Gold,Athletics,1984,Japan,JPN
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Burma,BIR
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,Australia,AUS
Men,Gold,Athletics,1984,Italy,ITA
Men,Gold,Athletics,1984,France,FRA
Men,Gold,Athletics,1984,Hungary,HUN
Men,Gold,Athletics,1984,Australia,AUS
Men,Gold,Athletics,1984,Ireland,IRL
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Poland,POL
Men,Gold,Athletics,1984,Australia,AUS
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Yugoslavia,YUG
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Belgium,BEL
Men,Gold,Athletics,1984,Ireland,IRL
Men,Gold,Athletics,1984,Poland,POL
Men,Gold,Athletics,1984,Australia,AUS
Men,Gold,Athletics,1984,Netherlands,NED
Men,Gold,Athletics,1984,Yugoslavia,YUG
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Brazil,BRA
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,Poland,POL
Men,Gold,Athletics,1984,Ireland,IRL
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Ireland,IRL
Men,Gold,Athletics,1984,Switzerland,SUI
Men,Gold,Athletics,1984,France,FRA
Men,Gold,Athletics,1984,Austria,AUT
Men,Gold,Athletics,1984,Belgium,BEL
Men,Gold,Athletics,1984,Yugoslavia,YUG
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Hungary,HUN
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,Great Britain,GBR
Men,Gold,Athletics,1984,Sweden,SWE
Men,Gold,Athletics,1984,Kenya,KEN
Men,Gold,Athletics,1984,Canada,CAN
Men,Gold,Athletics,1984,Poland,POL
Men,Gold,Athletics,1984,Israel,ISR
Men,Gold,Athletics,1984,FR Germany,FRG
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,United States of America,USA
Men,Gold,Athletics,1984,Ireland,IRL
