gender,event,medal,type,year,country,abb,athlete
Men,Discus Throw C1,Gold,Athletics,1980,Poland,POL,MAMINSKI Mieczyslaw
Men,Discus Throw CP C,Gold,Athletics,1980,Belgium,BEL,DE VLIEGHERE M.
Men,Discus Throw CP D,Gold,Athletics,1980,Norway,NOR,TANGEN Bjorn
Men,Discus Throw D,Gold,Athletics,1980,Poland,POL,POPLAWSKI Andrzej
Men,Discus Throw D1,Gold,Athletics,1980,United States of America,USA,JEROME John
Men,Discus Throw E,Gold,Athletics,1980,FR Germany,FRG,BEEZ Alois
Men,Discus Throw F,Gold,Athletics,1980,Belgium,BEL,BRAET Achiel
Men,Discus Throw J,Gold,Athletics,1980,Poland,POL,PALUCH Stanislaw
Men,Discus Throw 2,Gold,Athletics,1980,New Zealand,NZL,CONDON Graham
Men,Discus Throw 3,Gold,Athletics,1980,Belgium,BEL,VAN OPHEM Remi
Men,Discus Throw 4,Gold,Athletics,1980,Canada,CAN,REIMER Eugene
Men,Discus Throw 5,Gold,Athletics,1980,Sweden,SWE,CLARK Raymond
Men,Javelin 1C,Gold,Athletics,1980,FR Germany,FRG,SPIESS Guenter
Men,Javelin B,Gold,Athletics,1980,Finland,FIN,SULISALO Timo
Men,Javelin C,Gold,Athletics,1980,Austria,AUT,PFLANZER Gilbert
Men,Javelin C1,Gold,Athletics,1980,Canada,CAN,LAPALME Denis
Men,Javelin CP C,Gold,Athletics,1980,Belgium,BEL,DE VLIEGHERE M.
Men,Javelin CP D,Gold,Athletics,1980,Norway,NOR,TANGEN Bjorn
Men,Javelin D,Gold,Athletics,1980,Poland,POL,ZMITROWICZ Andrzej
Men,Javelin D1,Gold,Athletics,1980,United States of America,USA,JEROME John
Men,Javelin E,Gold,Athletics,1980,Poland,POL,DABROWSKI Jerzy
Men,Javelin F,Gold,Athletics,1980,Canada,CAN,LEONARD Dan
Men,Javelin J,Gold,Athletics,1980,Great Britain,GBR,SADLER Philip
Men,Javelin 2,Gold,Athletics,1980,Netherlands,NED,LEVESTONE J.
Men,Javelin 3,Gold,Athletics,1980,Jamaica,JAM,JEFFRESON Davis
Men,Javelin 4,Gold,Athletics,1980,FR Germany,FRG,BENZ E.
Men,Javelin 5,Gold,Athletics,1980,Sweden,SWE,CLARK Raymond
Men,Club Throw 1A,Gold,Athletics,1980,Australia,AUS,PATCHETT Wayne
Men,Club Throw 1B,Gold,Athletics,1980,United States of America,USA,DUVAL Julius
Men,Pentathlon 1A,Gold,Athletics,1980,Finland,FIN,IKONEN U.
Men,Pentathlon 1B,Gold,Athletics,1980,Austria,AUT,FRANK Gerhard
Men,Pentathlon 1C,Gold,Athletics,1980,FR Germany,FRG,HENKER Siegmar
Men,Pentathlon A,Gold,Athletics,1980,Poland,POL,ZYSKOWSKI Ryszard
Men,Pentathlon B,Gold,Athletics,1980,Poland,POL,PAWLIK Andrzej
Men,Pentathlon C,Gold,Athletics,1980,Canada,CAN,HEAVER A.
Men,Pentathlon C1,Gold,Athletics,1980,Austria,AUT,PRICHTZIG Karl
Men,Pentathlon D,Gold,Athletics,1980,Great Britain,GBR,WILLIS Anthony
Men,Pentathlon D1,Gold,Athletics,1980,United States of America,USA,BRYANT Richard
Men,Pentathlon E,Gold,Athletics,1980,Canada,CAN,FACEY C.
Men,Pentathlon E1,Gold,Athletics,1980,Denmark,DEN,NIELSEN Jorn
Men,Pentathlon F,Gold,Athletics,1980,Canada,CAN,LEONARD Dan
Men,Pentathlon 2,Gold,Athletics,1980,FR Germany,FRG,HERTLE Walter
Men,Pentathlon 3,Gold,Athletics,1980,United States of America,USA,LEVIS Reno
Men,Pentathlon 4,Gold,Athletics,1980,FR Germany,FRG,SCHUHBAUER Johann
Men,Pentathlon 5,Gold,Athletics,1980,Sweden,SWE,CLARK Raymond
Women,60 m 1A,Gold,Athletics,1980,Mexico,MEX,CORNEJO Josefina
Women,60 m 1B,Gold,Athletics,1980,United States of America,USA,PATTON C.
Women,60 m 1C,Gold,Athletics,1980,Egypt,EGY,HANAN Ahmed Fathi
Women,60 m A,Gold,Athletics,1980,United States of America,USA,LOVITT Carmella
Women,60 m CP C,Gold,Athletics,1980,France,FRA,ONFROY
Women,60 m CP D,Gold,Athletics,1980,France,FRA,DOSIMONT D.
Women,60 m 2,Gold,Athletics,1980,Kuwait,KUW,AL-ROMI Adelah
Women,60 m 3,Gold,Athletics,1980,Mexico,MEX,VALDEZ Angeles
Women,60 m 4,Gold,Athletics,1980,United States of America,USA,RAHN Sharon
Women,60 m 5,Gold,Athletics,1980,Mexico,MEX,SOTO Juana
Women,100 m B,Gold,Athletics,1980,Poland,POL,KOZLOWSKA Grazyna
Women,100 m C,Gold,Athletics,1980,Canada,CAN,FARRELL Anne
Women,100 m C1,Gold,Athletics,1980,Poland,POL,KOZLAK Danuta
Women,100 m D,Gold,Athletics,1980,United States of America,USA,WILLIAMSON Melody
