year,country,longitude,latitude,value
1992,United Arab Emirates,53.847818,23.424076,O
1992,Iraq,43.679291,33.223191,B
1992,Uzbekistan,64.585262,41.377491,O
1992,Colombia,-74.297333,4.570868,O
1992,Vietnam,108.277199,14.058324,O
1992,UNKNOWN,123.0,48.0,O
1992,Luxembourg,6.129583,49.815273,O
1992,Faroe Islands,-6.911806,61.892635,S
1992,Peru,-75.015152,-9.189967,O
1992,Cyprus,33.429859,35.126413,O
1992,Singapore,103.819836,1.352083,O
1992,Kazakhstan,66.923684,48.019573,O
1992,Jordan,36.238414,30.585164,O
1992,Bosnia and Herzegovina,17.679076,43.915886,O
1992,Bahamas,-77.39628,25.03428,O
1992,East Germany,10.451526,51.165691,O
1992,Indonesia,113.921327,-0.789275,O
1992,Venezuela,-66.58973,6.42375,B
1992,Palestine,35.233154,31.952162,O
1992,Papua New Guinea,143.95555,-6.314993,O
1992,Pakistan,69.345116,30.375321,O
1992,Ethiopia,40.489673,9.145,O
1992,Uganda,32.290275,1.373333,O
1992,Qatar,51.183884,25.354826,O
1992,Uruguay,-55.765835,-32.522779,O
1992,Moldova,28.369885,47.411631,O
1992,Rwanda,29.873888,-1.940278,O
1992,Sri Lanka,80.771797,7.873054,O
1992,Cabo Verde,-24.013197,16.002082,O
1992,Mozambique,35.529562,-18.665695,O
1992,Libya,17.228331,26.3351,O
1992,Philippines,121.774017,12.879721,O
1992,Laos,102.495496,19.85627,O
1992,Syria,38.996815,34.802075,O
1996,Denmark,9.501785,56.26392,B
1996,FR Germany,10.451526,51.165691,O
1996,Canada,-106.346771,56.130366,G
1996,Mexico,-102.552784,23.634501,S
1996,Finland,25.748151,61.92411,B
1996,France,2.213749,46.227638,G
1996,Korea,127.766922,35.907757,B
1996,Norway,8.468946,60.472024,S
1996,New Zealand,174.885971,-40.900557,G
1996,Japan,138.252924,36.204824,B
1996,Austria,14.550072,47.516231,S
1996,United States of America,-95.712891,37.09024,B
1996,Belgium,4.469936,50.503887,B
1996,Great Britain,-3.435973,55.378051,S
1996,Sweden,18.643501,60.128161,S
1996,Switzerland,8.227512,46.818188,G
1996,Italy,12.56738,41.87194,S
1996,-,123.0,48.0,O
1996,Germany,10.451526,51.165691,G
1996,Poland,19.145136,51.919438,B
1996,Czech Republic,15.472962,49.817492,S
1996,Slovakia,19.699024,48.669026,S
1996,China,104.195397,35.86166,G
1996,Mongolia,103.846656,46.862496,O
1996,Turkey,35.243322,38.963745,O
1996,Russia,105.318756,61.52401,B
1996,Iran,53.688046,32.427908,G
1996,Australia,133.775136,-25.274398,G
1996,Egypt,30.802498,26.820553,S
1996,Netherlands,5.291266,52.132633,S
1996,Sudan,30.217636,12.862807,O
1996,Jamaica,-77.297508,18.109581,B
1996,Kuwait,47.481766,29.31166,G
1996,Kenya,37.906193,-0.023559,G
1996,Israel,34.851612,31.046051,B
1996,Ireland,-8.24389,53.41291,B
1996,Portugal,-8.224454,39.399872,G
1996,Yugoslavia,21.005859,44.016521,G
1996,Burma,95.956223,21.913965,O
1996,Hungary,19.503304,47.162494,G
1996,Brazil,-51.92528,-14.235004,B
1996,Spain,-3.74922,40.463667,B
1996,Hong Kong,114.109497,22.396428,G
1996,Trinidad and Tobago,-61.222503,10.691803,O
1996,USSR,105.318756,61.52401,O
1996,Iceland,-19.020835,64.963051,G
1996,Bahrain,50.637772,25.930414,O
1996,Bulgaria,25.48583,42.733883,S
1996,Puerto Rico,-66.590149,18.220833,O
1996,Nigeria,8.675277,9.081999,B
1996,South Africa,22.937506,-30.559482,G
1996,Cuba,-77.781167,21.521757,G
1996,Panama,-80.782127,8.537981,G
1996,Slovenia,14.995463,46.151241,B
1996,Argentina,-63.616672,-38.416097,S
1996,Serbia,21.005859,44.016521,O
1996,Algeria,1.659626,28.033886,B
1996,Dominican Republic,-70.162651,18.735693,G
1996,Côte Ivoire,-5.54708,7.539989,G
1996,Belarus,27.953389,53.709807,B
1996,Ukraine,31.16558,48.379433,S
1996,Greece,21.824312,39.074208,B
1996,Estonia,25.013607,58.595272,S
1996,Lithuania,23.881275,55.169438,B
1996,Zimbabwe,29.154857,-19.015438,O
1996,Thailand,100.992541,15.870032,B
1996,Tunisia,9.537499,33.886917,S
1996,Chinese Taipei,120.960515,23.69781,B
1996,Angola,17.873887,-11.202692,O
1996,Morocco,-7.09262,31.791702,O
1996,Azerbaijan,47.576927,40.143105,O
1996,Latvia,24.603189,56.879635,O
1996,India,78.96288,20.593684,O
1996,Botswana,24.684866,-22.328474,O
1996,Saudi Arabia,45.079162,23.885942,O
1996,Croatia,15.2,45.1,O
1996,Chile,-71.542969,-35.675147,O
1996,Fiji,179.414413,-16.578193,O
1996,Namibia,18.49041,-22.95764,O
1996,Malaysia,101.975766,4.210484,O
1996,United Arab Emirates,53.847818,23.424076,O
1996,Iraq,43.679291,33.223191,O
1996,Uzbekistan,64.585262,41.377491,O
1996,Colombia,-74.297333,4.570868,O
1996,Vietnam,108.277199,14.058324,O
1996,UNKNOWN,123.0,48.0,G
1996,Luxembourg,6.129583,49.815273,O
1996,Faroe Islands,-6.911806,61.892635,O
1996,Peru,-75.015152,-9.189967,G
1996,Cyprus,33.429859,35.126413,O
1996,Singapore,103.819836,1.352083,O
1996,Kazakhstan,66.923684,48.019573,O
1996,Jordan,36.238414,30.585164,S
1996,Bosnia and Herzegovina,17.679076,43.915886,O
1996,Bahamas,-77.39628,25.03428,O
1996,East Germany,10.451526,51.165691,O
1996,Indonesia,113.921327,-0.789275,O
1996,Venezuela,-66.58973,6.42375,O
1996,Palestine,35.233154,31.952162,O
1996,Papua New Guinea,143.95555,-6.314993,O
1996,Pakistan,69.345116,30.375321,O
1996,Ethiopia,40.489673,9.145,O
1996,Uganda,32.290275,1.373333,O
1996,Qatar,51.183884,25.354826,O
1996,Uruguay,-55.765835,-32.522779,B
1996,Moldova,28.369885,47.411631,B
1996,Rwanda,29.873888,-1.940278,O
1996,Sri Lanka,80.771797,7.873054,O
1996,Cabo Verde,-24.013197,16.002082,O
1996,Mozambique,35.529562,-18.665695,O
1996,Libya,17.228331,26.3351,O
1996,Philippines,121.774017,12.879721,O
1996,Laos,102.495496,19.85627,O
1996,Syria,38.996815,34.802075,O
2000,Denmark,9.501785,56.26392,B
2000,FR Germany,10.451526,51.165691,O
2000,Canada,-106.346771,56.130366,G
2000,Mexico,-102.552784,23.634501,S
2000,Finland,25.748151,61.92411,B
2000,France,2.213749,46.227638,G
2000,Korea,127.766922,35.907757,G
2000,Norway,8.468946,60.472024,G
2000,New Zealand,174.885971,-40.900557,B
2000,Japan,138.252924,36.204824,B
2000,Austria,14.550072,47.516231,S
2000,United States of America,-95.712891,37.09024,B
2000,Belgium,4.469936,50.503887,B
2000,Great Britain,-3.435973,55.378051,S
2000,Sweden,18.643501,60.128161,B
2000,Switzerland,8.227512,46.818188,B
2000,Italy,12.56738,41.87194,G
2000,-,123.0,48.0,O
2000,Germany,10.451526,51.165691,B
2000,Poland,19.145136,51.919438,S
2000,Czech Republic,15.472962,49.817492,S
2000,Slovakia,19.699024,48.669026,B
2000,China,104.195397,35.86166,G
2000,Mongolia,103.846656,46.862496,O
2000,Turkey,35.243322,38.963745,O
2000,Russia,105.318756,61.52401,B
2000,Iran,53.688046,32.427908,G
2000,Australia,133.775136,-25.274398,G
2000,Egypt,30.802498,26.820553,S
2000,Netherlands,5.291266,52.132633,S
2000,Sudan,30.217636,12.862807,O
2000,Jamaica,-77.297508,18.109581,O
2000,Kuwait,47.481766,29.31166,B
2000,Kenya,37.906193,-0.023559,B
2000,Israel,34.851612,31.046051,G
2000,Ireland,-8.24389,53.41291,G
2000,Portugal,-8.224454,39.399872,G
2000,Yugoslavia,21.005859,44.016521,S
2000,Burma,95.956223,21.913965,O
2000,Hungary,19.503304,47.162494,B
2000,Brazil,-51.92528,-14.235004,S
2000,Spain,-3.74922,40.463667,G
2000,Hong Kong,114.109497,22.396428,B
2000,Trinidad and Tobago,-61.222503,10.691803,O
2000,USSR,105.318756,61.52401,O
2000,Iceland,-19.020835,64.963051,G
2000,Bahrain,50.637772,25.930414,S
2000,Bulgaria,25.48583,42.733883,G
2000,Puerto Rico,-66.590149,18.220833,B
2000,Nigeria,8.675277,9.081999,G
2000,South Africa,22.937506,-30.559482,G
2000,Cuba,-77.781167,21.521757,G
2000,Panama,-80.782127,8.537981,S
2000,Slovenia,14.995463,46.151241,B
2000,Argentina,-63.616672,-38.416097,B
2000,Serbia,21.005859,44.016521,O
2000,Algeria,1.659626,28.033886,G
2000,Dominican Republic,-70.162651,18.735693,O
2000,Côte Ivoire,-5.54708,7.539989,G
2000,Belarus,27.953389,53.709807,B
2000,Ukraine,31.16558,48.379433,S
2000,Greece,21.824312,39.074208,G
2000,Estonia,25.013607,58.595272,B
2000,Lithuania,23.881275,55.169438,S
2000,Zimbabwe,29.154857,-19.015438,G
2000,Thailand,100.992541,15.870032,G
2000,Tunisia,9.537499,33.886917,G
2000,Chinese Taipei,120.960515,23.69781,B
2000,Angola,17.873887,-11.202692,O
2000,Morocco,-7.09262,31.791702,O
2000,Azerbaijan,47.576927,40.143105,O
2000,Latvia,24.603189,56.879635,B
2000,India,78.96288,20.593684,O
2000,Botswana,24.684866,-22.328474,O
2000,Saudi Arabia,45.079162,23.885942,O
2000,Croatia,15.2,45.1,O
2000,Chile,-71.542969,-35.675147,O
2000,Fiji,179.414413,-16.578193,O
2000,Namibia,18.49041,-22.95764,O
2000,Malaysia,101.975766,4.210484,O
2000,United Arab Emirates,53.847818,23.424076,S
2000,Iraq,43.679291,33.223191,O
2000,Uzbekistan,64.585262,41.377491,O
2000,Colombia,-74.297333,4.570868,O
2000,Vietnam,108.277199,14.058324,O
2000,UNKNOWN,123.0,48.0,O
2000,Luxembourg,6.129583,49.815273,O
2000,Faroe Islands,-6.911806,61.892635,S
2000,Peru,-75.015152,-9.189967,G
2000,Cyprus,33.429859,35.126413,O
2000,Singapore,103.819836,1.352083,O
2000,Kazakhstan,66.923684,48.019573,O
2000,Jordan,36.238414,30.585164,G
2000,Bosnia and Herzegovina,17.679076,43.915886,S
2000,Bahamas,-77.39628,25.03428,O
2000,East Germany,10.451526,51.165691,O
